label,cluster_no
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
rice,6
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
maize,2
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
chickpea,1
